Code,Description,Airport Name,Latitude,Longitude
10236,"Agades, Niger: Mano Dayak",Mano Dayak,16.96083333,8.00916667
10237,"Atka, AK: Atka Airport",Atka Airport,52.22055556,-174.20611111
10238,"Akron, OH: Akron Fulton International",Akron Fulton International,41.0375,-81.46777778
10239,"Kufrah, Libya: Kufra",Kufra,24.17916667,23.31277778
10241,"Akiak, AK: Akiak Airport",Akiak Airport,60.90277778,-161.23055556
10242,"Asahikawa, Japan: Asahikawa Airport",Asahikawa Airport,43.67083333,142.4475
10243,"Akhiok, AK: Akhiok Airport",Akhiok Airport,56.93861111,-154.1825
10244,"Auckland, New Zealand: Auckland International",Auckland International,-37.01194444,174.78638889
10245,"King Salmon, AK: King Salmon Airport",King Salmon Airport,58.67638889,-156.64861111
10246,"Akron, CO: Colorado Plains Regional",Colorado Plains Regional,40.17555556,-103.22194444
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",Anaktuvuk Pass Airport,68.13361111,-151.74333333
10248,"Akure, Nigeria: Akure Airport",Akure Airport,7.24666667,5.30111111
10249,"Auki, Solomon Islands: Auki Airport",Auki Airport,-8.7025,160.68166667
10250,"Akrotiri, Cyprus: Akrotiri Airport",Akrotiri Airport,34.59027778,32.98777778
10251,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport",Aktyubinsk Airport,50.25,57.21666667
10252,"Sittwe, Burma: Sittwe Airport",Sittwe Airport,20.13333333,92.87055556
10253,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field",Albertville Regional-Thomas J Brumlik Field,34.22916667,-86.25583333
10254,"Alabaster, AL: Shelby County",Shelby County,33.17777778,-86.78333333
10255,"Huntsville, AL: Huntsville Executive Tom Sharp Jr",Huntsville Executive Tom Sharp Jr,34.85944444,-86.5575
10256,"Almaty, Kazakhstan: Almaty Airport",Almaty Airport,43.35555556,77.04388889
10257,"Albany, NY: Albany International",Albany International,42.74916667,-73.80194444
10258,"Alicante, Spain: Alicante Airport",Alicante Airport,38.28222222,-0.55833333
10259,"Alpine, TX: Alpine Casparis Municipal",Alpine Casparis Municipal,30.38416667,-103.68361111
10260,"Alta, Norway: Alta Airport",Alta Airport,69.9775,23.36472222
